dataset,method,leaky_auroc_mean,leaky_auroc_std,clean_auroc_mean,clean_auroc_std,leaky_f1_mean,leaky_f1_std,clean_f1_mean,clean_f1_std,deployment_drop_mean,deployment_drop_std,selected_leakage_count_mean,selected_leakage_count_std,selected_leakage_ratio_mean,selected_leakage_ratio_std,injected_leakage_recall_mean,injected_leakage_recall_std
blood,TFS-LASSO,0.9956851488624945,0.00782552947517405,0.5260964912280702,0.05835352836019187,0.9655417529330574,0.02642174470040966,0.3818657367044464,0.004775262053227239,0.46958865763442426,0.05664549827299164,2.8,0.447213595499958,0.9333333333333332,0.14907119849998604,0.9333333333333332,0.14907119849998604
blood,LASFS,0.6770273449323791,0.02593559703402667,0.6770273449323791,0.02593559703402667,0.3588546738772103,0.019878524245632835,0.3588546738772103,0.019878524245632835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cultivars,TFS-RF,0.9951171875,0.005304092036718855,0.6771484375,0.06246699415356516,0.9555364050178115,0.036982432210862407,0.47487734487734484,0.28291989306159837,0.31796875,0.0650380727331783,3.0,0.0,0.5,0.0,1.0,0.0
cultivars,TFS-LogReg,0.99609375,0.004784159653873398,0.6869140625,0.06280196675665037,0.9658240951610171,0.033544011848524194,0.6409090909090909,0.08046010937788943,0.3091796875,0.06630330802064087,3.0,0.0,0.5,0.0,1.0,0.0
cultivars,TFS-LASSO,0.9953125,0.005231677826554242,0.6146484375,0.09042001099854527,0.9564404223227753,0.03380574719502763,0.6082226438962681,0.14301017920285972,0.3806640625,0.09436254659174786,3.0,0.0,0.5,0.0,1.0,0.0
cultivars,LASFS,0.80009765625,0.046880848837579016,0.80009765625,0.046880848837579016,0.68830320217417,0.020037893209652956,0.68830320217417,0.020037893209652956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diabetes,TFS-RF,0.998434688751894,0.0007215236502576978,0.7823397921553161,0.03336812559345411,0.9702449463294194,0.007354410635257561,0.4321451622366954,0.1827588473247037,0.2160948965965778,0.03307760549298784,3.0,0.0,0.6,0.0,1.0,0.0
diabetes,TFS-LogReg,0.9989947969639731,0.0006545431964515398,0.7515631940552545,0.02478667539038778,0.97407117974039,0.010025533693756175,0.514938684503902,0.003918119372714379,0.24743160290871852,0.025018915536402557,3.0,0.0,0.6,0.0,1.0,0.0
diabetes,TFS-LASSO,0.9989587354961911,0.0008158128887841309,0.7626756751146813,0.03341466262181249,0.9758711105122835,0.00816853883912535,0.4253782449434624,0.1978881270915271,0.2362830603815098,0.033360096111043215,3.0,0.0,0.6,0.0,1.0,0.0
diabetes,LASFS,0.8303691042060182,0.03719094487747882,0.8303691042060182,0.03719094487747882,0.6611998295923047,0.032957539678027836,0.6611998295923047,0.032957539678027836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
german_credit,TFS-RF,0.9983095238095239,0.0010383450442117777,0.7281785714285715,0.021465229887059435,0.9844567244794508,0.005307862027528795,0.824015269824744,0.001086411649661537,0.2701309523809524,0.021393878993535096,3.0,0.0,0.3,0.0,1.0,0.0
german_credit,TFS-LogReg,0.99825,0.001179713251603565,0.6992142857142858,0.0465880274611524,0.9836895395796115,0.005885977269255041,0.8235294117647058,0.0,0.2990357142857142,0.047466466860200146,3.0,0.0,0.3,0.0,1.0,0.0
german_credit,TFS-LASSO,0.9980833333333333,0.0010296070624019012,0.6879642857142857,0.04749376003290844,0.9822862433478152,0.0043093573356088885,0.8235294117647058,0.0,0.3101190476190476,0.04817835595395827,3.0,0.0,0.3,0.0,1.0,0.0
german_credit,LASFS,0.7503690476190477,0.0386614451523716,0.7503690476190477,0.0386614451523716,0.826840620476181,0.01245032499665755,0.826840620476181,0.01245032499665755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heart,TFS-RF,0.9391865079365079,0.012656637614644162,0.9391865079365079,0.012656637614644162,0.8840003718252376,0.011184586715460632,0.8840003718252376,0.011184586715460632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heart,TFS-LogReg,0.8937216553287982,0.015103464765686513,0.903202947845805,0.006009105809081863,0.8241780423573755,0.022392049585118624,0.8424701675905834,0.010100709437257984,-0.00948129251700676,0.011722591728281787,1.8,0.4472135954999579,0.3,0.074535599249993,0.6,0.14907119849998596
heart,TFS-LASSO,0.8943310657596373,0.015758532325430348,0.9011621315192745,0.006650275042321179,0.8255308397190341,0.028182591369174857,0.8506137674029539,0.015555202272690633,-0.0068310657596372,0.014789084304709202,1.4,0.5477225575051662,0.2333333333333333,0.0912870929175277,0.4666666666666666,0.18257418583505536
heart,LASFS,0.9337868480725625,0.011248563214063832,0.9337868480725625,0.011248563214063832,0.8910748413106828,0.010472235485086643,0.8910748413106828,0.010472235485086643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telco_churn,TFS-RF,0.9966868170192977,0.0015869904865299864,0.8076948513265648,0.02625297702533995,0.9609711972720183,0.0046521492544079135,0.1854328295450462,0.21445874648281477,0.18899196569273297,0.025219911194557357,3.0,0.0,0.3333333333333333,0.0,1.0,0.0
telco_churn,TFS-LogReg,0.996997080782247,0.0009767231225070543,0.8030739621276706,0.023238528225188893,0.9616024033473926,0.007149198698912854,0.18248629885313983,0.21676713877465564,0.1939231186545764,0.02325114059669386,3.0,0.0,0.3333333333333333,0.0,1.0,0.0
telco_churn,TFS-LASSO,0.996958071766256,0.001371044348109773,0.8026903304141155,0.025371263607752922,0.9637942980323746,0.007950819736156307,0.41951766685361747,0.0,0.19426774135214026,0.025098142140980995,3.0,0.0,0.3333333333333333,0.0,1.0,0.0
telco_churn,LASFS,0.7977289519233253,0.014082740048945252,0.7977289519233253,0.014082740048945252,0.5264659620366404,0.02101169536006348,0.5264659620366404,0.02101169536006348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
