dataset,comparison,metric,mean_delta,std_delta,n_seeds
heart,LASFS - TFS-LASSO,injected_leakage_recall,-0.44000000000000006,0.0547722557505166,5
heart,LASFS - LLM-only,clean_auroc,-0.012400793650793584,0.019727040365276484,5
heart,LASFS - LLM-only,clean_f1,-0.005259876176747435,0.02220384216411452,5
heart,LASFS - LLM-only,deployment_drop,-0.04499716553287978,0.0028278160344720003,5
heart,LASFS - LLM-only,selected_leakage_count,-1.0,0.0,5
heart,LASFS - LLM-only,injected_leakage_recall,-0.1,0.0,5
telco_churn,LASFS - TFS-RF,clean_auroc,0.06130228112325298,0.020276979424406177,5
telco_churn,LASFS - TFS-RF,clean_f1,0.10176530956399088,0.019800448720388344,5
telco_churn,LASFS - TFS-RF,deployment_drop,-0.26067762019168667,0.01418065177145621,5
telco_churn,LASFS - TFS-RF,selected_leakage_count,-7.0,0.0,5
telco_churn,LASFS - TFS-RF,injected_leakage_recall,-0.7,0.0,5
telco_churn,LASFS - TFS-LogReg,clean_auroc,0.1837169650468883,0.10416281425956524,5
telco_churn,LASFS - TFS-LogReg,clean_f1,0.10176530956399088,0.019800448720388344,5
telco_churn,LASFS - TFS-LogReg,deployment_drop,-0.3830897207367795,0.11335586535323722,5
telco_churn,LASFS - TFS-LogReg,selected_leakage_count,-7.2,0.8366600265340756,5
telco_churn,LASFS - TFS-LogReg,injected_leakage_recall,-0.7200000000000001,0.08366600265340758,5
telco_churn,LASFS - TFS-LASSO,clean_auroc,0.20608256477821696,0.12866844999695026,5
telco_churn,LASFS - TFS-LASSO,clean_f1,0.10176530956399088,0.019800448720388344,5
telco_churn,LASFS - TFS-LASSO,deployment_drop,-0.4054517037381487,0.13310525267458262,5
telco_churn,LASFS - TFS-LASSO,selected_leakage_count,-7.2,0.8366600265340756,5
telco_churn,LASFS - TFS-LASSO,injected_leakage_recall,-0.7200000000000001,0.08366600265340758,5
telco_churn,LASFS - LLM-only,clean_auroc,-0.003417809811671746,0.008808159321899049,5
telco_churn,LASFS - LLM-only,clean_f1,-0.013806086363382907,0.013858596131703819,5
telco_churn,LASFS - LLM-only,deployment_drop,0.0,0.0,5
telco_churn,LASFS - LLM-only,selected_leakage_count,0.0,0.0,5
telco_churn,LASFS - LLM-only,injected_leakage_recall,0.0,0.0,5
